Boumerdes,24752,0,34,5,2,0,8,49,0.00197963800904977,61.88,49.504
Dellys,9277,0,44,4,0,0,11,59,0.00635981459523553,23.1925,18.554
Khemis El Khechna,17462,0,49,49,6,0,46,150,0.00859008131943649,43.655,34.924
Thenia,7933,0,8,1,0,0,4,13,0.00163872431614774,19.8325,15.866
Ain El HAMMAM,6130,0,3,0,0,0,1,4,0.00065252854812398,15.325,12.26
Azazga,11576,0,6,0,1,0,7,14,0.00120939875604699,28.94,23.152
Draa Ben Khedda,8400,0,7,0,1,0,3,11,0.00130952380952381,21,16.8
Draa El Mizan,5410,0,0,2,0,0,2,4,0.000739371534195933,13.525,10.82
Larbaa Naiterathen,11349,0,14,0,3,0,4,21,0.00185038329368226,28.3725,22.698
Mekla,6611,0,1,0,0,0,0,1,0.000151263046437755,16.5275,13.222
Ouadhias,8597,0,3,1,0,0,2,6,0.00069791787832965,21.4925,17.194
Tigzirt,8711,0,4,0,0,0,2,6,0.000688784295718058,21.7775,17.422
Tizi Ouzou,27245,0,7,3,1,0,2,13,0.00047715177096715,68.1125,54.49
Tizi Ouzou Nlle Ville,23209,7,22,5,4,0,9,47,0.00202507647895213,58.0225,46.418
Annaba,22478,1,22,1,3,0,9,36,0.00160156597562061,56.195,44.956
Bouzered,26915,1,31,1,9,0,4,46,0.00170908415381757,67.2875,53.83
El Bouni,28056,0,42,2,2,2,8,56,0.00199600798403194,70.14,56.112
Plaine Ouest,16416,0,21,4,3,2,5,35,0.00213206627680312,41.04,32.832
El Kala,10837,0,20,3,2,0,7,32,0.00295284672879948,27.0925,21.674
El Tarf,14530,0,17,4,3,0,9,33,0.00227116311080523,36.325,29.06
Drean,23265,0,50,8,6,1,15,80,0.00343864173651408,58.1625,46.53
Bouchegouf,5440,0,3,1,0,0,1,5,0.000919117647058824,13.6,10.88
Guelma1,24311,0,9,1,0,0,1,11,0.000452470075274567,60.7775,48.622
Guelma2,19887,0,28,1,3,0,10,42,0.00211193241816262,49.7175,39.774
Oued Zenati,8603,0,4,1,5,0,6,16,0.00185981634313612,21.5075,17.206
Lalaouia,13926,0,4,1,0,0,1,6,0.000430848772081,34.815,27.852
Sedrata,14496,0,8,2,5,1,8,24,0.00165562913907285,36.24,28.992
Souk Ahras,19922,0,16,5,1,0,14,36,0.00180704748519225,49.805,39.844
Taoura,5300,0,1,0,0,0,1,2,0.000377358490566038,13.25,10.6
Ain Touta,9686,0,1,3,0,0,9,13,0.00134214329960768,24.215,19.372
Arris,8742,0,8,1,0,3,5,17,0.00194463509494395,21.855,17.484
Barika,14253,0,14,1,2,0,0,17,0.0011927313548025,35.6325,28.506
Batna,38479,7,43,23,7,1,14,95,0.00246887912887549,96.1975,76.958
Batna2,29050,4,64,17,23,2,15,125,0.00430292598967298,72.625,58.1
El Madher,10138,0,4,3,1,0,3,11,0.00108502663247189,25.345,20.276
Merouana,10334,0,5,1,0,0,3,9,0.000870911554093284,25.835,20.668
N'gaous,8735,0,4,0,0,0,0,4,0.000457927876359473,21.8375,17.47
Tazoult,9726,0,7,9,0,2,3,21,0.00215916101172116,24.315,19.452
Chechar,3718,0,0,0,0,0,0,0,0,9.295,7.436
El Mahmel,6921,0,2,0,0,0,0,2,0.000288975581563358,17.3025,13.842
Kais,7961,0,4,5,1,0,0,10,0.00125612360256249,19.9025,15.922
Khenchela,26688,0,13,0,4,0,0,17,0.000636990407673861,66.72,53.376
Cheria,10951,0,14,1,0,0,2,17,0.00155236964660762,27.3775,21.902
Bir El Ater,7312,0,4,5,2,0,1,12,0.00164113785557987,18.28,14.624
Ouenza,5847,0,9,2,3,0,1,15,0.0025654181631606,14.6175,11.694
Tebessa2,20920,0,30,2,4,0,4,40,0.00191204588910134,52.3,41.84
Tebessa1,17707,0,63,6,3,5,9,86,0.00485683627943751,44.2675,35.414
El Aouinet,5464,0,1,1,1,0,0,3,0.00054904831625183,13.66,10.928
Ain Smara,7224,0,4,4,0,0,8,16,0.00221483942414175,18.06,14.448
Ali Mendjeli,41606,0,38,1,2,0,10,51,0.0012257847425852,104.015,83.212
Belle Vue,16071,0,29,4,0,2,6,41,0.00255117914255491,40.1775,32.142
Hamma Bouziane,6790,0,22,2,0,0,1,25,0.00368188512518409,16.975,13.58
Khroub,27727,1,62,3,4,9,6,85,0.00306560392397302,69.3175,55.454
Sidi Mabrouk,20265,0,60,4,0,5,3,72,0.00355292376017765,50.6625,40.53
Martyrs,9698,0,2,1,0,0,1,4,0.000412456176531244,24.245,19.396
Polygone,9036,0,6,0,0,0,1,7,0.000774679061531651,22.59,18.072
Zighoud Youcef,9006,0,26,13,1,0,6,46,0.00510770597379525,22.515,18.012
Zouaghi,8231,0,4,0,4,0,0,8,0.000971935366298141,20.5775,16.462
El Milia,14512,0,25,3,0,0,11,39,0.00268743109151047,36.28,29.024
Jijel,22359,0,40,5,1,2,12,60,0.00268348316114316,55.8975,44.718
Taher,16775,0,10,3,0,0,4,17,0.00101341281669151,41.9375,33.55
Jijel2,16784,0,29,0,4,4,4,41,0.00244280266920877,41.96,33.568
Chelghoum,17898,0,3,0,2,1,4,10,0.000558721644876522,44.745,35.796
ferdjioua,10627,0,10,0,0,1,6,17,0.00159969888021078,26.5675,21.254
Grarem,7295,0,1,0,2,0,2,5,0.000685400959561343,18.2375,14.59
Mila,13713,0,5,2,2,1,4,14,0.00102092904543134,34.2825,27.426
Oued Endja,6170,0,2,0,0,0,0,2,0.000324149108589951,15.425,12.34
Telaghma,9301,0,3,2,2,0,6,13,0.00139769917213203,23.2525,18.602
Ain Fakroun,6191,0,1,0,0,0,2,3,0.000484574382167663,15.4775,12.382
Ain-Beida,22574,0,12,4,13,1,1,31,0.00137326127403207,56.435,45.148
Ain-M'lila,20224,0,12,4,10,0,3,29,0.00143393987341772,50.56,40.448
Oum El Bouaghi,18976,0,18,0,4,3,1,26,0.00137015177065767,47.44,37.952
Azzaba,10628,0,10,2,0,0,1,13,0.0012231840421528,26.57,21.256
Collo,11472,0,43,3,0,0,3,49,0.00427126917712692,28.68,22.944
Harrouch,9955,0,12,0,1,0,2,15,0.00150678051230537,24.8875,19.91
Skikda,21441,0,30,1,1,0,1,33,0.0015391073177557,53.6025,42.882
Skikda2,17090,0,82,9,6,0,10,107,0.00626097132826214,42.725,34.18
Bordj Bou Arreridj Nord,33259,0,33,3,4,1,18,59,0.0017739559217054,83.1475,66.518
Bordj Bou Arreridj Sud,16956,0,31,1,2,3,10,47,0.00277188016041519,42.39,33.912
Bordj Ghdir,7163,0,2,1,0,0,3,6,0.000837637861231328,17.9075,14.326
Ras El Oued,17191,0,13,3,1,0,11,28,0.00162875923448316,42.9775,34.382
Mansourah,5634,0,11,3,0,1,11,26,0.00461483848065318,14.085,11.268
Akbou,18424,0,41,2,9,1,3,56,0.00303951367781155,46.06,36.848
Aokas,11406,0,12,1,0,0,4,17,0.00149044362616167,28.515,22.812
Bejaia,52262,0,96,9,13,1,9,128,0.00244919827025372,130.655,104.524
El Kseur,13399,0,36,1,9,2,8,56,0.0041794163743563,33.4975,26.798
Sidi Aich,14259,0,22,0,1,0,5,28,0.00196367206676485,35.6475,28.518
Seddouk,9149,0,9,2,0,0,2,13,0.00142092031916056,22.8725,18.298
Boussada,22466,0,36,2,1,0,6,45,0.00200302679604736,56.165,44.932
M'sila,21689,0,63,5,9,1,1,79,0.00364239937295403,54.2225,43.378
Sidi Aissa,8773,0,15,0,0,0,2,17,0.00193776359284167,21.9325,17.546
M'sila2,11466,0,32,3,1,1,9,46,0.0040118611547183,28.665,22.932
Ain Arnet,43116,0,3,0,2,0,3,8,0.000185545969013823,107.79,86.232
Ain Azel,9219,0,0,0,0,0,0,0,0,23.0475,18.438
Ain El Kebira,9082,0,4,0,0,0,2,6,0.000660647434485796,22.705,18.164
Ain Oulmane,17034,0,1,0,0,0,1,2,0.00011741223435482,42.585,34.068
Bougaa,12688,0,0,1,0,0,0,1,7.88146279949559e-05,31.72,25.376
El Eulma,11423,0,2,0,1,0,1,4,0.000350170708220257,28.5575,22.846
